,x,y,z,Vx,Vy,Vz,cloneOf
21,1040416293.6006544,-2999074865.3524933,1246998497.497369,529335.5239924466,103366.74355452806,24354.778675098045,21
22,-1755892874.1434438,2101192152.506587,877971652.5805604,-502098.2439235545,-360832.16593340633,11942.874134560072,22
23,3283495874.3214383,-586206510.8358033,228573535.98035917,101022.48637546792,496997.58191195567,67065.68689519372,23
24,-3155463506.291931,1494752523.6592302,1154090389.8904235,-333100.3959360908,-344577.40904953785,-122621.01292496957,24
25,-2717794440.762214,1651155570.83943,678726381.4296606,-385527.97152728494,-462871.3469366778,31766.120914248015,25
26,-2237694379.321948,-1681594805.5809708,591980896.6430758,316896.0796075443,-507821.93535169447,-72920.13833817546,26
27,2745067091.3399105,-698850476.1659065,-163183979.4475303,153607.0842753034,625608.5765349352,-98842.72513350702,27
28,-2135494734.4034934,-2953507389.701413,-170635696.16274896,370483.2113223953,-360014.9064067571,-16852.982185646586,28
29,2146569703.9065106,3043161234.3580027,612167068.2401159,-361850.74859947414,371936.6269516291,15605.803287242772,29
30,4121957784.8952503,-612481264.9457058,-377831432.1167885,47127.65150770335,417719.50563088036,-203874.19877066562,30
31,588724750.4759567,-4523777945.695859,734928047.9219198,447540.9681974725,-12317.028171789774,91226.43564790086,31
32,-1464123191.3363936,3083878491.0649033,67577483.73413002,-486712.54599471926,-229814.61645644266,-58110.88192314569,32
